# 
#   the Higgs vacuum located above the real axis (i.e. k = 1 in exp(i 2 pi k /3)
#         Re(X2)    Im(X2)       Im(tau)
	5.467045197245375 2.094379651890106		5
	4.419911673892265 2.0942695964519		4
	3.373228181654626 2.0933733006257893		3
	2.3301013381233853 2.085924410434976		2
	1.81440514042878   2.069224043817569		1.5
	1.5091024277883078 2.044688785572077		1.2
	1.3065256276674349 2.0148821360657236		1
	0.9919497774417652 1.9319047397698021		0.7
	0.7524866569701798 1.8424554761728626		0.5
