# 
#   the Higgs vacuum located above the real axis (i.e. k = 1 in exp(i 2 pi k /3)
#
#     (q^{1/3})^2  approximation
#
#         Re(W)    Im(W)       Im(tau)
	0.19505407893223833925 0.27801480051093284074  1
	0.315668		0.21103                1.2
	0.409438		0.126052 	       1.5
	0.47024552096699724443 0.04774258155049463048  2
	0.49645414695649742292 0.00608406779282190749  3
	0.49956514022356639958 0.00075232680887698440  4
	0.49994647651276485787 0.00009269216940107443  5
