# 
#   the Higgs vacuum located above the real axis (i.e. k = 1 in exp(i 2 pi k /3)
#
#       q^{2/3} precision
#
#         Re(X2)    Im(X2)       Im(tau)
	0.776778 		1.80823			0.5
	1.00255			1.92465			0.7
	1.3083570543653063693   2.0143306034225820292	1
	1.50962 		2.04459			1.2
	1.81448 		2.06922			1.5
	2.3301045893649345330   2.0859243079819631281 	2 
	3.3732281876343455570   2.0933733006030049087	3
	4.4199116733872193365   2.0942695964517700882	4
	5.4670457357164794051   2.0943796519067479185	5
