# 
#   the Higgs vacuum located above the real axis (i.e. k = 1 in exp(i 2 pi k /3)
#
#     q^{1/3}  approximation
#
#         Re(W)    Im(W)       Im(tau)
	0.26727107950927557856 0.40309831468059226858  1
	0.346915	       0.265152                1.2
	0.418331               0.141455                1.5
	0.47134066432850575446 0.04963942549419914020  2
	0.49647075438927188118 0.00611283271017055376  3
	0.49956539206897135025 0.00075276301791401172  4
	0.49994648033190468858 0.00009269878434530243  5

