# 
#   the Higgs vacuum located above the real axis (i.e. k = 1 in exp(i 2 pi k /3)
#
#       q^{1/3} precision
#
#         Re(X2)    Im(X2)       Im(tau)
	1.3153704149606522391  2.0246144690876479479	1
	1.5125 		       2.04908			1.2
	1.81526			2.0705			1.5
	2.3301976113935227302  2.0860823490456744265	2
	3.3732295748471066923  2.0933756976728040402	3
	4.4199116943804180748  2.0942696328025216477	4
	5.4670457360347524134  2.0943796524579932705	5
