#
#  The values of W at the vacuum solution 
#  x1 = omega2, x2 = <numeric, real>
#
#  The value of the superpotential in this case will be real
#
#	tau		W
	0.5		4.020078203311638
	0.6		2.8180963494591955
	0.7		2.104976871156997 
	0.8		1.6516640439336785
	0.9		1.3484800921991282
	1.0		1.1377168166462166
	1.1		0.9867401178535959
	1.2		0.8760029426344955 
	1.3		0.7932338231991993
	1.4		0.7304226918076226
	1.5		0.682167270821215
	1.6		0.6447216843887309
	1.7		0.6154263459290303
	1.8		0.5923541230611749
	1.9		0.5740839269637581
	2.0		0.5595518927752822
	2.5		0.5203858040171495
	3.0		0.5070917844816949
	3.5		0.5024810579947749
	4.0		0.5008697197005195


